"GEOID","NAMELSAD"
"2430430","Lukachukai Chapter"
"1505254","RU254"
"0990750","Snowbird Community"
"3235800","Upper Cut Meat Segment"
"0990850","Wolftown Community"
"5550320","Lowrey"
"5550325","Lyons Switch"
"5550343","Marble City Community"
"5550348","Marietta"
"5550358","Mazie"
"2430945","White Horse Lake Chapter"
"2175500","Schoolview Addition"
"2175600","Warrington Addition"
"2430740","Shonto Chapter"
"2430850","Tolani Lake Chapter"
"2430852","Tonalea Chapter"
"1505560","RU560"
"1505561","RU561"
"1505562","RU562"
"1505200","North Oraibi District"
"1505220","Polacca Wash District"
"1505258","RU258"
"1505259","RU259"
"1505260","RU260"
"1505261","RU261"
"1505262","RU262"
"1505263","RU263"
"1505351","RU351"
"1250300","Fort Kipp District"
"5590675","County District 9"
"1860100","Buffalo Lake District"
"1860200","Enemy Swim District"
"1860300","Heipa District"
"1860400","Lake Traverse District"
"1110300","Elmo-Dayton District"
"1110500","Mission District"
"1110600","Pablo District"
"1110650","Polson District"
"0855200","Crow Creek District"
"1505552","RU552"
"1505553","RU553"
"1505554","RU554"
"4290950","Tulalip Bay"
"1830350","Indian Village"
"1310200","District 2"
"1310300","District 3"
"1310500","District 5"
"5590600","County District 8"
"0605200","District 2"
"0605300","District 3"
"1505565","RU565"
"5550700","Wickliffe"
"5550705","Woodall"
"5550710","Zeb"
"5550715","Zena"
"5550720","Zion"
"5550338","McKey"
"5550365","Moodys"
"5550370","Mulberry"
"5550375","Murphy"
"5550385","Narcissa"
"5550390","New Eucha"
"5550395","Nicut"
"5550400","Notchietown"
"5550410","Oak Hill-Piney"
"5590375","County District 5"
"5590450","County District 6"
"5590825","County District 11"
"5550090","Bunch"
"4290990","Waterworks"
"5550025","Adair Non-Community"
"5550120","Cherokee Non-Community"
"1860600","Old Agency District"
"3935250","Fort Totten District"
"3935600","St. Michael District"
"0990600","Painttown Community"
"1505558","RU558"
"1505559","RU559"
"3235290","Ideal Segment"
"1505569","RU569"
"0990050","Big Cove Community"
"5550675","Wauhillau"
"1110400","Hot Springs District"
"5550535","Sequoyah"
"5550545","Shady Grove"
"2430095","Casamero Lake Chapter"
"2430105","Chi Chil Tah Chapter"
"2430120","Church Rock Chapter"
"2430142","Coyote Canyon Chapter"
"2430150","Crownpoint Chapter"
"1310700","District 7"
"1505570","RU570"
"1505571","RU571"
"1505555","RU555"
"1505620","Shonto District"
"1505840","West Dinnebito District"
"2430870","Tuba City Chapter"
"1505050","Blue Point District"
"1505120","East Dinnebito District"
"1505165","Hopi-Winslow District"
"1505180","Moenkopi Administrative Area"
"0605100","District 1"
"0605400","District 4"
"1505725","Toreva District"
"1505740","Tovar Mesa District"
"1505780","Upper Polacca District"
"2810200","Eagle Nest District"
"0335100","Deer Creek Segment"
"1110725","Ronan District"
"4200050","Baboquivari District"
"4200100","Chukut Kuk District"
"3100450","Little Rock District"
"2430410","Littlewater Chapter"
"2430445","Manuelito Chapter"
"2430455","Mariano Lake Chapter"
"2430475","Mexican Springs Chapter"
"2430503","Nahodishgish Chapter"
"2430600","Pinedale Chapter"
"3680180","North Reservation"
"3680190","Sakpe"
"3235060","Butte Creek Segment"
"3680140","Bluff View"
"3680120","Bdedan"
"3235100","Corn Creek Segment"
"2430560","Ojo Encino Chapter"
"5590900","County District 12"
"2430630","Pueblo Pintado Chapter"
"4290250","Hermosa Point"
"3100600","Ponemah District"
"2430010","Aneth Chapter"
"4290350","Maplewood"
"4290800","Shaker Church"
"4290700","Quilceda"
"4200270","Gila Bend District"
"4200340","Hickiwan District"
"4200700","Sif Oidak District"
"3340400","District D"
"3340500","District E"
"3340600","District F"
"2430970","Winslow Tract Chapter"
"1860050","Big Coulee District"
"5550550","Shady Grove Community"
"5550555","Short"
"5550560","Simms"
"5550565","Snake Creek"
"5550570","Sour John"
"3340300","District C"
"1250150","Brockton District"
"1250650","Oswego District"
"1250700","Poplar District"
"1250825","Wolf Point District"
"2430320","Huerfano Chapter"
"2430382","Lake Valley Chapter"
"2430500","Nageezi Chapter"
"2430510","Naschitti Chapter"
"3340700","District G"
"4290600","Port Susan"
"4290200","Firetrail"
"2430030","Baca Chapter"
"2430638","Ramah Chapter"
"3935800","Wood Lake District"
"2430335","Iyanbito Chapter"
"5590750","County District 10"
"0990065","Birdtown Community"
"0990880","Yellowhill Community"
"5550035","Badger Lee"
"5550040","Ballou"
"5550045","Belfonte"
"4200300","Gu Achi District"
"4200320","Gu Vo District"
"4200500","Pisinemo District"
"4200570","San Xavier District"
"1505556","RU556"
"1505557","RU557"
"1505572","RU572"
"1505573","RU573"
"1505600","Shongopovi District"
"1505660","South Oraibi District"
"1505700","Talahogan District"
"5560130","Cheyenne and Arapaho District 3"
"2430040","Becenti Chapter"
"2430435","Lupton Chapter"
"2430650","Red Rock Chapter"
"2430667","Rock Springs Chapter"
"2430750","Smith Lake Chapter"
"2430810","Standing Rock Chapter"
"2430837","Thoreau Chapter"
"2430845","Tohatchi Chapter"
"5560140","Cheyenne and Arapaho District 4"
"3235020","Antelope Segment"
"5560110","Cheyenne and Arapaho District 1"
"2430005","Alamo Chapter"
"1310400","District 4"
"1310600","District 6"
"1505566","RU566"
"5550265","Iron Post"
"5550270","Johnson Prairie"
"5550275","Justice"
"5550280","Kenwood"
"5550285","Ketchum Community"
"5550290","Keys"
"5550200","Duchess Landing"
"5550205","Dwight Mission"
"5550210","Eldon"
"5550215","Elm Grove"
"2430693","San Juan Southern Paiute Northern Area"
"1160800","White Shield Segment"
"1860500","Long Hollow District"
"2430855","Torreon Chapter"
"4290750","Rainwater"
"4290450","Marysville West"
"4290150","Consolidated Borough of Quil Ceda Village"
"3680130","Big Eagle's"
"3680160","Eagle Creek"
"3235280","Horse Creek Segment"
"3235400","Okreek Segment"
"3235500","Ring Thunder Segment"
"1150100","Agency District"
"2430140","Counselor Chapter"
"0335700","Sugarbush Segment"
"4290650","Priest Point"
"3680170","East Village"
"3680150","Brewer"
"3235040","Black Pipe Segment"
"1250350","Frazier District"
"1505563","RU563"
"2430075","Bread Springs Chapter"
"1150250","Dodson District"
"4290300","John Sam Lake"
"4290100","Aspen"
"4290900","Stimson"
"4290400","Marshall"
"5550490","River Bottom"
"5550495","Rocky Ford"
"5550500","Rocky Mountain"
"2430045","Beclabito Chapter"
"2430068","Black Mesa Chapter"
"2430108","Chilchinbeto Chapter"
"2430110","Chinle Chapter"
"2430138","Cornfields Chapter"
"4760800","Weitchpec District"
"4760600","Pecwan District"
"4760700","Requa District"
"4760500","Orick District"
"2810475","Medicine Root District"
"3235250","Grass Mountain Segment"
"3235270","He Dog Segment"
"1505567","RU567"
"5550220","Evening Shade"
"5550225","Fairfield"
"5550230","Flint Creek"
"1310100","District 1"
"4290550","Mission Highlands"
"0855400","Fort Thompson District"
"0335300","Indian Point Segment"
"5560120","Cheyenne and Arapaho District 2"
